time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_ECRB,Top_FCR,pos_flex,pos_dev,pos_pro
0.82,0.3212868476716114,0.1635697697742892,0.0,-7.182945551660031e-06,-0.02024385600602919,-0.02533371198045433,0.04256407926028905,2.381786643978749e-05,2.690713764632349e-05,0.1679145255148839,0.0,0.0
0.83,0.3178504730585044,0.16088230871806639,0.0,6.123082465748391e-06,-0.021884745009650902,-0.02749336559969015,0.03811847985019009,4.2331434203988924e-05,3.338137055105578e-05,0.1686451418128267,0.0,0.0
0.84,0.31468593357314384,0.15915135946538245,0.0,2.231904324399679e-05,-0.02129916727810026,-0.026885321531451255,0.03254262016546366,6.111391874969005e-05,3.788814121264561e-05,0.1693337282058373,0.0,0.0
0.85,0.31147645744032254,0.15844753205001882,0.0,4.038221451886924e-05,-0.017831139111121167,-0.022680734679263004,0.026250083070359535,7.815233369255293e-05,3.9399334574669856e-05,0.1699801130837506,0.0,0.0
0.86,0.3079022280343191,0.1588059628448558,0.0,5.880824686564594e-05,-0.010919233065310775,-0.014166150870925093,0.0196966014433211,9.108704656383764e-05,3.6943333034898645e-05,0.1705841353539039,0.0,0.0
0.87,0.3036790415508528,0.16022083431366227,0.0,7.56489592597421e-05,-0.00016846084138684436,-0.0008339958523182617,0.013320402660302173,9.738053861745963e-05,2.972785505895252e-05,0.1711456444812843,0.0,0.0
0.88,0.29858760427881537,0.16263622685477075,0.0,8.860953139088639e-05,0.014580726992811419,0.017530108231596925,0.007497248588277676,9.455108140493871e-05,1.7275753686117697e-05,0.1716645005260453,0.0,0.0
0.89,0.2924919899684334,0.1659357177271784,0.0,9.521022931120184e-05,0.03319503365571613,0.04077408731821913,0.0025115308490689927,8.046276561890603e-05,-4.378529823268433e-07,0.172140574178383,0.0,0.0
0.9,0.2853468281212696,0.16993392506605903,0.0,9.301201267167652e-05,0.0552119370581709,0.06833206810998943,-0.0014572313703669244,5.3654754354046166e-05,-2.286202191702276e-05,0.1725737467907624,0.0,0.0
0.91,0.27719365157675885,0.1743734622652962,0.0,7.989810271102747e-05,0.07983339756865226,0.09921437438779163,-0.004334546759062097,1.368367223964978e-05,-4.877739847924446e-05,0.1729639104074873,0.0,0.0
0.92,0.26814756864857303,0.17893042024625688,0.0,5.439525002679954e-05,0.10595685358269419,0.1320440460197529,-0.006140657416417347,-3.8555427773971044e-05,-7.625324515130407e-05,0.1733109677916047,0.0,0.0
0.93,0.2583761265853059,0.18323044567884791,0.0,1.6009668526383505e-05,0.13224700819854102,0.16514450464665226,-0.006973045102858633,-0.00010057098433415316,-0.00010267223107033051,0.1736148324491385,0.0,0.0
0.94,0.24807298970392772,0.1868756644815307,0.0,-3.445574528958864e-05,0.15724606035032795,0.19667574010610522,-0.006984948191801913,-0.00016812535408224462,-0.00012483848275773613,0.1738754286506456,0.0,0.0
0.95,0.2374299548239774,0.1894800698605506,0.0,-9.464316955967798e-05,0.1795117968071499,0.22480614725582748,-0.0063627655686752625,-0.00023523956782123495,-0.00013917931890329946,0.1740926914500892,0.0,0.0
0.96,0.2266118474064463,0.19070773144278466,0.0,-0.00016048510999909656,0.19776282782050145,0.24789450674141023,-0.005304697801249642,-0.0002943934054033987,-0.00014204349027116618,0.174266566701025,0.0,0.0
0.97,0.21573945154011112,0.19030544799389407,0.0,-0.00022619812458375536,0.21100193577369777,0.2646461928276096,-0.004002350908241556,-0.0003369510861434674,-0.00013008878202430593,0.1743970110700952,0.0,0.0
