time,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,Top_ECU,pos_flex,pos_dev,pos_pro
4.39,-5.557138903740454e-06,0.0,-8.167591087546845e-07,0.56585723778393,-7.272808290505794e-13,0.2616294125466991,0.0,2.2176594663275653e-07,-1.087763654574927e-05,0.0,1.1843822215161315e-06,0.0,0.2015929121905823,0.0
4.4,-7.489045029297907e-06,0.0,-6.578026050309872e-07,0.5605970534783647,-9.050166683495918e-11,0.27182772898606133,0.0,1.3906465096162137e-07,-1.4332183766437611e-05,0.0,6.524214890045549e-07,0.0,0.2060663793924776,0.0
4.41,-8.391575368883205e-06,0.0,-4.748765392109758e-07,0.5549877288262139,-1.5336665393692092e-10,0.28074496289171136,0.0,6.168156957043902e-08,-1.5801048255199665e-05,0.0,1.7587826957093475e-07,0.0,0.2104884905325114,0.0
4.42,-8.418660243810526e-06,0.0,-2.890648983500823e-07,0.5490709152478334,-1.8950529978671246e-10,0.2883489340086388,0.0,-4.734336547261212e-09,-1.557572143120043e-05,0.0,-2.1525628215536524e-07,0.0,0.2148581435278795,0.0
4.43,-7.766794014414397e-06,0.0,-1.172445156617112e-07,0.5428999574984621,-2.0140060062918856e-10,0.29473033223358586,0.0,-5.668887810267125e-08,-1.4034331675868683e-05,0.0,-5.048105104437759e-07,0.0,0.2191742493694471,0.0
4.44,-6.646912708850104e-06,0.0,2.8502316592896313e-08,0.5365365457621075,-1.931321673200285e-10,0.30006669500962596,0.0,-9.269276902074473e-08,-1.1590222193865685e-05,0.0,-6.889247977618092e-07,0.0,0.2234357323931527,0.0
4.45,-5.260820827353163e-06,0.0,1.4093132367272168e-07,0.5300471702440296,-1.6968206104342737e-10,0.3045866451961598,0.0,-1.1296795472239118e-07,-8.64832274366132e-06,0.0,-7.73785304595884e-07,0.0,0.227641530548086,0.0
4.46,-3.783460369790815e-06,0.0,2.1724704771073627e-07,0.5234995564908638,-1.3630859014927862e-10,0.30853748801752984,0.0,-1.190662584214407e-07,-5.571485333103769e-06,0.0,-7.729577331856699e-07,0.0,0.2317905956611737,0.0
4.47,-2.351575515352371e-06,0.0,2.5840655116993665e-07,0.516959178943673,-9.802846152106038e-11,0.3121583602561265,0.0,-1.1345227225488673e-07,-2.6576229872127262e-06,0.0,-7.04639072159454e-07,0.0,0.2358818936984056,0.0
4.48,-1.058680506774106e-06,0.0,2.682419267182614e-07,0.5104858944261279,-5.922962859027782e-11,0.315660204871485,0.0,-9.909456733989029e-08,-1.2736770789738922e-07,0.0,-5.890852198902402e-07,0.0,0.2399144050225383,0.0
4.49,4.4284370567566285e-08,0.0,2.525167481796249e-07,0.5041307138829443,-2.3420990595045568e-11,0.3192129905321605,0.0,-7.909924694464205e-08,1.8788969149505748e-06,0.0,-4.4640244990458843e-07,0.0,0.2438871246472093,0.0
4.5,9.436103834182233e-07,0.0,2.1801302849666108e-07,0.49793274175824354,6.888200431944592e-12,0.3229398663546118,0.0,-5.640896429730472e-08,3.2963514460138835e-06,0.0,-2.94819082928782e-07,0.0,0.2477990624874013,0.0
4.51,1.6540440854899623e-06,0.0,1.7172215605963566e-07,0.4919163546836727,3.019622112158462e-11,0.32691737319162933,0.0,-3.357990586341422e-08,4.125433014620023e-06,0.0,-1.494870870967492e-07,0.0,0.2516492436061922,0.0
4.52,2.2079549455007703e-06,0.0,1.2018863904350004e-07,0.48608875656737066,4.592731322520843e-11,0.3311804395005411,0.0,-1.2639772246192862e-08,4.417995901969069e-06,0.0,-2.18064263735217e-08,0.0,0.2554367084577291,0.0
4.53,2.6438397076788784e-06,0.0,6.90317827631712e-08,0.48043812368600347,5.428683575720522e-11,0.3357306706616931,0.0,4.977942602493277e-09,4.261898571445837e-06,0.0,8.077926178585167e-08,0.0,0.259160513126368,0.0
4.54,2.9954791471073896e-06,0.0,2.2649534335160688e-08,0.47493262607498704,5.607927016210658e-11,0.34054638136847826,0.0,1.8433758074199604e-08,3.7656989361842065e-06,0.0,1.545974605232621e-07,0.0,0.2628197295619173,0.0
4.55,3.2829108308375564e-06,0.0,-1.5908114259444834e-08,0.4695206640280399,5.2512893306438594e-11,0.34559289860545006,0.0,2.7430057268245964e-08,3.0447744548515035e-06,0.0,1.9927063646467938e-07,0.0,0.2664134458109268,0.0
4.56,3.5061697925297082e-06,0.0,-4.49209508200141e-08,0.46413267468457664,4.501100173373979e-11,0.3508318503509783,0.0,3.212253474533162e-08,2.209780450892716e-06,0.0,2.1705238166894396e-07,0.0,0.2699407662439662,0.0
4.57,3.642490049028419e-06,0.0,-6.386781334024002e-08,0.4586848293187204,3.5044717538663244e-11,0.3562284235939119,0.0,3.301069229024569e-08,1.3579621960318324e-06,0.0,2.1207364802245092e-07,0.0,0.2734008117788342,0.0
4.58,3.6473634619518744e-06,0.0,-7.321856379102377e-08,0.4530848467232428,2.399725601150537e-11,0.3617558964868479,0.0,3.082139953472068e-08,5.674774865437827e-07,0.0,1.8958407000204953e-07,0.0,0.276792720099645,0.0
4.59,3.459526983379732e-06,0.0,-7.418333268552541e-08,0.44723998735869935,1.3064608552737175e-11,0.36739709765092593,0.0,2.639717879416777e-08,-1.0541017485926071e-07,0.0,1.5525582508335995e-07,0.0,0.2801156458717347,0.0
4.6,3.0096034946250274e-06,0.0,-6.845003093826215e-08,0.4410670693491609,3.1932842160018553e-12,0.3731427977627377,0.0,2.059799397960271e-08,-6.266292867969375e-07,0.0,1.1459774139550343e-07,0.0,0.2833687609523367,0.0
4.61,2.231766121473649e-06,0.0,-5.7935595553872935e-08,0.4345040720860384,-4.947683004743472e-12,0.3789873742293773,0.0,1.4222284418233497e-08,-9.825935095710455e-07,0.0,7.250762124633505e-08,0.0,0.2865512545969724,0.0
4.62,1.0774459757898178e-06,0.0,-4.456984489081119e-08,0.4275225864068372,-1.0965689172936943e-11,0.3849223907646837,0.0,7.950085617297913e-09,-1.1770634609403505e-06,0.0,3.297273516114626e-08,0.0,0.2896623336615057,0.0
4.63,-4.702210217536392e-07,0.0,-3.0123968871007184e-08,0.42014006125745196,-1.4721127402478e-11,0.3909289832414129,0.0,2.3085445249177606e-09,-1.2271542500001704e-06,0.0,-1.086634318140474e-09,0.0,0.2927012227998108,0.0
4.64,-2.3827851057744456e-06,0.0,-1.6089224165205327e-08,0.4124305224561239,-1.6288705334158377e-11,0.3969701254309516,0.0,-2.3418885175621503e-09,-1.1590184249873547e-06,0.0,-2.7847158529630447e-08,0.0,0.2956671646570052,0.0
4.65,-4.575477568323303e-06,0.0,-3.6058258109075134e-09,0.4045322422717068,-1.5910355699897968e-11,0.4029839479955142,0.0,-5.803755563733735e-09,-1.0036502645299542e-06,0.0,-4.651006763406693e-08,0.0,0.2985594200581979,0.0
4.66,-6.900646808447013e-06,0.0,6.562371818228604e-09,0.39665076382205394,-1.3945692187740925e-11,0.40887928731658896,0.0,-8.025402687481285e-09,-7.931523069709579e-07,0.0,-5.715438067246142e-08,0.0,0.3013772681927078,0.0
4.67,-9.147390189594116e-06,0.0,1.4014894277686318e-08,0.3890557743016234,-1.082468589242018e-11,0.4145345355385754,0.0,-9.074663940523084e-09,-5.576924055222203e-07,0.0,-6.054433810499668e-08,0.0,0.3041200067937045,0.0
4.68,-1.1048868758136053e-05,0.0,1.8672630423080406e-08,0.38207061053577385,-7.005779119057091e-12,0.41980064157440306,0.0,-9.107651731511769e-09,-3.2327089592081743e-07,0.0,-5.79175789656023e-08,0.0,0.3067869523132278,0.0
4.69,-1.2298316953368512e-05,0.0,2.0716630383971232e-08,0.3760536903157748,-2.941198468407421e-12,0.42450877292896394,0.0,-8.33642056651159e-09,-1.1032137341290078e-07,0.0,-5.07766766847851e-08,0.0,0.3093774400925428,0.0
4.7,-1.2574069893718272e-05,0.0,2.0517166575120784e-08,0.37137189436848494,9.500685432086464e-13,0.428482697021871,0.0,-6.998573002740767e-09,6.690914787676131e-08,0.0,-4.070157089475445e-08,0.0,0.3118908245277861,0.0
4.71,-1.1573039950576282e-05,0.0,1.856135888898139e-08,0.3683668518419145,4.3021955126544956e-12,0.43155539668644977,0.0,-5.3310575921028604e-09,2.00311355955729e-07,0.0,-2.919489447392595e-08,0.0,0.314326479230864,0.0
4.72,-9.051020832629757e-06,0.0,1.538603002445983e-08,0.3673161515795053,6.8165841120634594e-12,0.43358882993775455,0.0,-3.5495658152047395e-09,2.8734142320417714e-07,0.0,-1.756677805227173e-08,0.0,0.3166837971855618,0.0
4.73,-4.8670485966430046e-06,0.0,1.1520579675489496e-08,0.36839262371928244,8.271636025264494e-12,0.43449512652931926,0.0,-1.8341473156520829e-09,3.300854058270131e-07,0.0,-6.86086675610005e-09,0.0,0.3189621908988246,0.0
4.74,9.720985498368543e-07,0.0,7.442762431948891e-09,0.37162588938075725,8.529745712247162e-12,0.4342569465261912,0.0,-3.209874387979933e-10,3.34117667354642e-07,0.0,2.1806900511789415e-09,0.0,0.3211610925471737,0.0
4.75,8.27220276201666e-06,0.0,3.5484963805078516e-09,0.3768712080937755,7.542675729056644e-12,0.43294428682715,0.0,9.002364975683741e-10,3.0729495240989424e-07,0.0,9.118452774656317e-09,0.0,0.3232799541182186,0.0
